				-	-	Diameter (km)	-	-	-										
Name	Crater Type	Latitude	Longitude	central dome	central pit/ring	rim	rim (predicted)	pedestal	ejecta	rings	Terrace Width	Rimwall Width	Rim Height	Depth	Depth Method	Terrain	Image	Resolution	Note

ZS01:269	CP	-1	269	N/A	9	52	N/A			N/A						dc	20617.25	1.7	
ZS17:256	CP	-17	256	N/A	9	52	N/A			N/A						dc	20617.25	1.7	
ZN15:197	CP	15	197	N/A	8	51	N/A			N/A						dc	20614.26	1.8	
ZS11:010	CP	-11	10	N/A	9	50	N/A			N/A						dc	16421.33	1.8	
ZN38:261	CP	38	261	N/A	10	49	N/A			N/A						dc	20616.57	1.7	
ZN35:040	CP	35	40	N/A	9	49	N/A			N/A						mv	16424.32	1.1	
Sigyn	CP	35	29	N/A	9	49	N/A			N/A						dc	16424.30	1.1	bright rays
ZS10:261	CP	-10	261	N/A	9	48	N/A			N/A						dc	20617.25	1.7	
ZN50:351	CP	50	351	N/A	9	48	N/A			N/A						dc	16426.40	1.0	
ZN22:245	CP	22	245	N/A	9	48	N/A			N/A						dc	20616.53	1.7	
ZN78:115	CP	78	115	N/A	7	48	N/A			N/A				1.00	sh	dc	16428.19	1.3	
ZN11:321	CP	11	321	N/A	8	45	N/A			N/A				0.88	sh	dc	16421.27	1.8	
ZN44:001	CP	44	1	N/A	9	44	N/A			N/A						cm	16426.34	1.0	see Anarr
ZN39:262	CP	39	262	N/A	8	44	N/A			N/A						dc	20616.57	1.7	
ZN28:016	CP	28	16	N/A	9	40	N/A			N/A						dc	16424.30	1.1	
ZN68:339	CP	68	339	N/A	7	38	N/A			N/A						dc	16426.46	1.0	
