name,lat,lon,diam
 ,-68.250,151.585,128.790
 ,-27.204,16.673,128.664
 ,-57.758,137.849,128.628
 ,-7.882,142.484,128.617
 ,-34.238,-174.132,128.217
 ,46.886,-30.407,128.022
 ,11.275,-161.097,127.856
 ,45.634,26.956,127.811
Kofi,56.693,118.200,127.671
Chong Ch'ol,46.815,-117.178,127.630
 ,-18.891,123.914,127.521
 ,-14.592,-103.286,127.387
 ,-20.869,174.095,127.314
 ,-1.393,3.314,127.309
 ,49.824,-0.110,127.061
Stevenson,2.052,-143.903,127.024
Picasso,3.407,50.214,126.845
 ,-33.346,166.012,126.797
 ,-43.261,20.645,126.702
 ,42.754,-115.200,126.649
 ,-55.500,108.842,126.427
Scarlatti,40.620,-101.386,126.339
 ,-12.111,-177.739,126.298
 ,5.277,-164.656,126.248
 ,18.398,-108.287,126.237
 ,51.301,110.314,126.111
Sei,-64.552,-88.479,126.087
 ,-22.791,-104.986,125.837
 ,-58.789,46.211,125.836
Unkei,-31.890,-62.586,125.777
 ,31.047,-6.122,125.403
Ictinus,-79.551,-172.960,125.303
Stravinsky,51.905,-79.086,125.238
 ,-22.953,131.788,125.220
 ,48.881,123.187,125.207
Rudaki,-4.044,-51.707,124.800
 ,27.923,-170.290,124.508
 ,-37.560,176.428,124.493
Turgenev,65.562,-136.324,124.475
 ,35.884,-149.850,124.280
 ,-3.976,49.548,124.254
 ,32.804,87.614,124.132
 ,-4.612,29.914,124.022
 ,-60.112,52.797,123.989
 ,-79.126,-2.730,123.891
 ,7.009,129.280,123.688
Polygnotus,-0.069,-69.277,123.538
 ,-66.083,-152.786,123.402
 ,55.650,-167.506,123.133
 ,27.305,44.414,122.958
 ,-39.151,108.497,122.544
 ,13.477,36.142,122.300
Sur Das,-47.016,-93.946,122.165
 ,-60.536,19.791,122.162
 ,-83.127,-107.812,122.118
 ,69.735,118.583,122.044
Abu Nuwas,17.616,-21.207,121.903
Barma,-40.877,-163.435,121.742
 ,5.792,-59.202,121.615
 ,50.308,-44.221,121.469
 ,-56.485,172.080,121.464
 ,37.204,-78.186,120.447
 ,-3.283,-172.516,120.424
Bartok,-29.269,-135.062,120.355
 ,-18.615,-145.302,120.348
 ,-10.892,178.214,120.347
 ,36.612,-92.499,120.250
 ,13.451,38.462,120.234
Zeami,-2.946,-147.413,120.046
 ,-55.632,177.354,119.924
 ,41.080,-44.936,119.814
 ,-3.793,46.614,119.735
 ,59.407,133.444,119.508
Hemingway,17.406,-2.786,119.446
 ,-79.078,-25.010,119.362
Eminescu,10.706,114.214,119.355
 ,-43.524,-178.910,119.146
 ,40.425,-112.737,118.903
 ,-37.490,-115.786,118.829
 ,11.176,-125.256,118.796
 ,59.145,5.807,118.674
 ,-31.633,30.984,118.480
 ,14.724,-62.256,118.473
 ,-48.541,-6.466,118.306
 ,37.390,-22.989,118.206
 ,-0.477,85.851,117.680
Roerich,-84.333,-60.271,117.351
 ,7.123,38.148,117.227
 ,-3.633,164.604,117.172
 ,-52.210,-9.625,117.165
 ,-42.083,-88.432,117.076
Li Po,17.106,-35.779,116.891
Neumann,-37.090,-34.686,116.881
Coleridge,-55.540,-66.334,116.798
 ,-22.041,141.774,116.797
Ghiberti,-48.588,-80.186,116.767
 ,61.592,-164.200,116.736
 ,7.064,10.222,116.685
 ,-9.194,107.645,116.645
 ,-42.589,160.714,116.411
 ,-70.658,48.720,116.275
 ,-47.946,160.501,115.625
 ,-27.800,157.906,115.526
 ,-48.552,164.387,115.340
 ,-41.239,-129.872,115.275
 ,-43.952,-24.508,115.212
 ,-40.989,2.114,115.012
 ,-44.825,57.006,114.950
Oskison,60.409,144.936,114.893
 ,41.004,-173.086,114.652
Abedin,61.693,-10.600,114.306
 ,-62.049,174.721,114.253
 ,2.747,169.594,113.846
 ,19.792,-62.607,113.715
Hauptmann,-23.691,179.600,113.704
 ,-11.531,16.894,113.630
 ,30.505,86.314,113.550
