LONGITUDE_CIRCLE,LATITUDE_CIRCLE,DIAM_CIRCLE
-54.86,13.16,7318.19
165.98,-4.24,7320.76
-49.20,-1.44,7326.57
-102.65,58.20,7327.78
68.62,43.16,7331.31
46.31,-62.38,7334.31
144.12,-11.04,7338.65
40.94,13.02,7340.29
62.74,34.55,7342.20
69.99,32.68,7347.15
66.29,34.34,7348.25
-177.98,-2.64,7350.72
176.90,19.73,7355.63
-20.90,-10.68,7357.61
51.82,2.72,7363.91
69.91,43.98,7364.25
61.54,14.45,7376.28
118.47,62.62,7378.12
-145.14,23.77,7383.92
14.32,-2.05,7388.26
-138.64,-2.36,7393.59
-122.40,58.82,7394.90
32.99,29.88,7394.98
96.62,-28.80,7395.33
-140.51,-44.79,7399.12
-103.83,-32.01,7402.64
-171.01,9.62,7403.14
20.01,59.20,7409.40
71.66,33.21,7410.26
117.44,19.46,7417.47
69.03,40.71,7420.87
85.17,31.11,7431.19
117.94,2.95,7433.71
-132.78,11.23,7457.84
159.58,7.68,7462.35
4.61,43.00,7468.92
-39.01,-46.30,7470.28
-141.11,27.64,7472.80
-148.94,-1.85,7483.26
-69.87,-31.62,7490.63
-34.75,74.59,7493.80
-166.07,28.90,7507.79
-98.09,-82.70,7509.86
-36.35,4.38,7512.80
156.45,-6.86,7513.69
-30.01,37.74,7514.50
-31.10,-18.96,7532.09
157.85,-29.04,7532.16
-155.61,18.07,7532.44
-154.12,12.12,7534.19
130.94,-35.04,7538.85
-98.57,37.82,7544.00
-170.87,7.71,7546.73
144.21,15.13,7549.82
-10.48,54.56,7554.57
-111.48,57.39,7557.03
113.51,7.76,7557.28
-25.51,33.40,7558.02
-169.51,20.92,7569.18
21.39,26.19,7569.34
122.80,29.48,7581.45
-61.30,38.18,7583.13
48.60,-7.05,7584.36
89.83,62.07,7591.63
-85.37,-3.79,7604.47
104.14,-48.35,7607.56
34.08,-16.50,7607.86
84.51,27.76,7610.38
57.37,10.84,7613.57
78.00,36.55,7624.78
-85.95,38.07,7625.43
147.82,27.49,7628.15
33.94,0.11,7641.70
25.06,-0.89,7645.60
74.77,-56.61,7671.19
49.41,60.69,7678.19
-140.53,34.27,7681.03
-177.10,18.64,7681.67
-179.31,30.84,7685.70
75.75,-36.78,7688.66
122.09,25.82,7690.76
-160.35,-5.98,7695.42
136.82,3.88,7703.30
-114.05,15.32,7706.31
-49.30,-14.71,7710.00
168.43,-15.41,7711.74
-4.84,72.71,7716.96
4.86,10.93,7717.07
142.51,35.58,7717.74
123.17,55.97,7723.47
169.95,7.67,7733.07
112.80,25.56,7750.57
-89.48,29.64,7754.27
42.54,37.71,7770.43
-114.64,-43.80,7776.25
-80.48,48.81,7778.12
163.65,6.95,7778.55
13.71,60.11,7783.98
117.44,39.06,7788.22
20.36,54.00,7797.54
4.26,32.97,7803.98
-53.25,-7.20,7815.26
-125.35,-31.32,7818.15
174.52,77.19,7818.69
-116.98,49.87,7820.69
-29.29,27.19,7828.97
20.28,-65.04,7830.52
-172.65,-6.38,7833.84
40.75,-25.79,7835.09
-142.47,-18.09,7836.62
-40.22,56.19,7839.23
157.47,36.36,7841.52
-39.86,11.97,7843.36
-115.99,23.63,7857.13
84.15,4.43,7857.95
19.94,18.93,7862.81
-13.00,28.95,7877.42
-6.42,81.55,7880.95
117.49,-70.30,7887.12
-172.96,64.24,7898.00
164.83,38.35,7898.47
-172.04,6.05,7899.33
15.53,-1.14,7911.12
90.13,-10.03,7911.47
82.33,20.68,7913.21
-85.98,12.43,7914.64
144.39,52.44,7919.74
33.95,19.27,7920.59
179.53,-5.00,7928.12
-176.71,-10.41,7928.57
-81.21,38.01,7931.59
-101.54,12.47,7933.56
134.00,-51.23,7935.32
178.25,24.97,7937.70
-165.19,10.09,7938.35
-42.65,15.27,7941.27
80.10,22.78,7943.04
-67.72,19.01,7951.74
-110.21,-26.01,7954.14
-95.41,29.59,7955.57
121.79,17.98,7957.03
141.56,24.49,7957.94
-65.04,5.41,7958.72
